2,1048576,0,84328
2,1048576,1,85283
4,1048576,0,42225
4,1048576,2,43347
4,1048576,3,43345
4,1048576,1,43603
8,1048576,0,22158
8,1048576,4,22338
8,1048576,1,22678
8,1048576,7,22580
8,1048576,6,22602
8,1048576,3,22633
8,1048576,2,22578
8,1048576,5,23265
16,1048576,0,12362
16,1048576,1,12552
16,1048576,15,12385
16,1048576,12,12611
16,1048576,2,11385
16,1048576,3,12429
16,1048576,9,12599
16,1048576,7,12444
16,1048576,4,12605
16,1048576,10,12366
16,1048576,11,12435
16,1048576,13,12660
16,1048576,5,12772
16,1048576,6,12691
16,1048576,14,12880
16,1048576,8,13761
32,1048576,0,10509
32,1048576,24,10590
32,1048576,4,10657
32,1048576,18,8049
32,1048576,12,10672
32,1048576,22,10601
32,1048576,16,10779
32,1048576,3,10722
32,1048576,20,10713
32,1048576,30,10677
32,1048576,2,10706
32,1048576,11,10729
32,1048576,31,10647
32,1048576,28,10760
32,1048576,14,10522
32,1048576,26,7502
32,1048576,29,10796
32,1048576,17,8474
32,1048576,19,10660
32,1048576,7,10649
32,1048576,6,10727
32,1048576,13,10925
32,1048576,25,8312
32,1048576,27,10669
32,1048576,15,8394
32,1048576,5,10855
32,1048576,1,11024
32,1048576,8,11148
32,1048576,21,11176
32,1048576,9,11629
32,1048576,23,8547
32,1048576,10,14792
64,1048576,48,9096
64,1048576,8,9126
64,1048576,32,9092
64,1048576,0,9389
64,1048576,21,7580
64,1048576,1,3079
64,1048576,10,9084
64,1048576,3,9222
64,1048576,15,9122
64,1048576,12,9153
64,1048576,6,8989
64,1048576,11,9176
64,1048576,23,9186
64,1048576,20,9058
64,1048576,14,9261
64,1048576,29,9187
64,1048576,57,9192
64,1048576,34,9057
64,1048576,37,9179
64,1048576,49,9212
64,1048576,2,9224
64,1048576,19,9248
64,1048576,39,9019
64,1048576,28,9099
64,1048576,22,8991
64,1048576,35,9174
64,1048576,47,9032
64,1048576,36,9144
64,1048576,30,9096
64,1048576,45,7531
64,1048576,25,9255
64,1048576,18,9217
64,1048576,43,9203
64,1048576,55,9048
64,1048576,44,9096
64,1048576,38,8962
64,1048576,53,7479
64,1048576,41,9348
64,1048576,42,7478
64,1048576,9,9469
64,1048576,63,9031
64,1048576,60,9060
64,1048576,46,9090
64,1048576,5,9403
64,1048576,17,9573
64,1048576,7,9208
64,1048576,52,7738
64,1048576,62,9094
64,1048576,61,7306
64,1048576,13,9566
64,1048576,31,9067
64,1048576,4,9611
64,1048576,54,9192
64,1048576,59,9985
64,1048576,16,10291
64,1048576,27,8313
64,1048576,24,9464
64,1048576,56,11050
64,1048576,33,9550
64,1048576,26,11050
64,1048576,58,11107
64,1048576,50,9233
64,1048576,40,9400
64,1048576,51,9981
