









10,2
9,4
8,8
8,16
8,32
8,64
9,128
8,256
9,512
8,1024
16,2048
22,4096
69,8192
104,16384
156,32768
367,65536
453,131072
1827,262144
4813,524288
8460,1048576

5,1
4,2
3,4
4,8
4,16
4,32
4,64
4,128
5,256
5,512
4,1024
8,2048
15,4096
27,8192
60,16384
977,32768
220,65536
1432,131072
1842,262144
4766,524288
9195,1048576

5,1
3,2
4,4
4,8
4,16
4,32
5,64
4,128
5,256
4,512
4,1024
9,2048
14,4096
39,8192
55,16384
109,32768
225,65536
1308,131072
1846,262144
5419,524288
8537,1048576

5,1
4,2
4,4
4,8
4,16
4,32
4,64
5,128
4,256
4,512
5,1024
13,2048
15,4096
28,8192
57,16384
859,32768
222,65536
1501,131072
1827,262144
4753,524288
8510,1048576

5,1
4,2
4,4
4,8
4,16
5,32
4,64
4,128
4,256
6,512
5,1024
8,2048
854,4096
29,8192
59,16384
107,32768
218,65536
1431,131072
1829,262144
4737,524288
9497,1048576

4,1
4,2
4,4
4,8
4,16
4,32
5,64
4,128
6,256
4,512
5,1024
8,2048
15,4096
29,8192
68,16384
110,32768
218,65536
1329,131072
1828,262144
4778,524288
9096,1048576

5,1
4,2
5,4
4,8
4,16
5,32
4,64
4,128
4,256
4,512
4,1024
8,2048
16,4096
28,8192
56,16384
1044,32768
221,65536
1422,131072
1846,262144
4779,524288
8453,1048576

5,1
5,2
4,4
3,8
4,16
4,32
4,64
4,128
4,256
4,512
5,1024
8,2048
15,4096
870,8192
56,16384
115,32768
229,65536
1460,131072
1827,262144
4766,524288
9527,1048576

4,1
4,2
4,4
3,8
4,16
5,32
5,64
4,128
4,256
5,512
7,1024
8,2048
15,4096
28,8192
60,16384
114,32768
217,65536
1345,131072
1826,262144
4740,524288
9502,1048576

5,1
4,2
4,4
4,8
4,16
5,32
4,64
5,128
4,256
5,512
5,1024
14,2048
15,4096
28,8192
60,16384
110,32768
1048,65536
438,131072
2794,262144
3805,524288
9115,1048576

