7,1
0,2
1,4
1,8
41,16
0,32
0,64
1,128
0,256
1,512
1,1024
0,2048
1,4096
2,8192
2,16384
46,32768
59,65536
104,131072
202,262144
404,524288
812,1048576

1,1
1,2
1,4
0,8
0,16
0,32
0,64
1,128
0,256
0,512
1,1024
1,2048
0,4096
1,8192
2,16384
50,32768
50,65536
104,131072
214,262144
410,524288
848,1048576

0,1
0,2
0,4
0,8
0,16
1,32
0,64
1,128
0,256
1,512
0,1024
1,2048
1,4096
1,8192
2,16384
48,32768
53,65536
103,131072
209,262144
416,524288
828,1048576

0,1
0,2
0,4
1,8
0,16
1,32
0,64
0,128
1,256
0,512
0,1024
0,2048
1,4096
2,8192
2,16384
51,32768
53,65536
106,131072
210,262144
423,524288
845,1048576

1,1
1,2
1,4
1,8
0,16
1,32
0,64
1,128
1,256
1,512
0,1024
1,2048
0,4096
2,8192
93,16384
5,32768
54,65536
104,131072
218,262144
422,524288
852,1048576

1,1
1,2
1,4
1,8
1,16
0,32
1,64
0,128
1,256
0,512
0,1024
1,2048
1,4096
51,8192
3,16384
5,32768
53,65536
111,131072
216,262144
426,524288
857,1048576

1,1
0,2
0,4
0,8
1,16
0,32
0,64
1,128
0,256
0,512
1,1024
1,2048
45,4096
1,8192
2,16384
5,32768
54,65536
113,131072
219,262144
428,524288
855,1048576

1,1
1,2
1,4
0,8
1,16
44,32
1,64
0,128
1,256
0,512
0,1024
1,2048
1,4096
1,8192
3,16384
53,32768
55,65536
108,131072
221,262144
430,524288
855,1048576

1,1
1,2
1,4
1,8
1,16
0,32
1,64
0,128
1,256
0,512
0,1024
1,2048
0,4096
1,8192
3,16384
48,32768
55,65536
106,131072
225,262144
424,524288
851,1048576

1,1
1,2
1,4
0,8
0,16
1,32
1,64
0,128
0,256
1,512
1,1024
1,2048
1,4096
1,8192
2,16384
55,32768
53,65536
113,131072
216,262144
429,524288
857,1048576

